CompoundID,cpdName,feature,ion,IonID,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,logPRDKit,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGID,chemspiderID,PubChemID,IUPAC,InChI,InChIKey,MSIAnnotationLevel
BANEG-0059,Lithocholic acid-3-sulfate,1,[M-H]-,BANEG-0059.1,563.4,9.39,455.2472835,455.2404548,455.2541123,515.4,611.4,456.25456,C24H40O6S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0000907,,,,,,,10253562,,,AXDXVEYHEODSPN-HVATVPOCSA-N,
BANEG-0060,Cholic acid-7-sulfate,1,[M-H]-,BANEG-0060.1,328.2,5.47,487.2371127,487.2298042,487.2444213,286.2,370.2,488.2443892,C24H40O8S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0002421,,,,,,,,,,RRVLNNMINXAIKC-OELDTZBJSA-N,
BANEG-0061,Cholic acid-3-sulfate,1,[M-H]-,BANEG-0061.1,343.8,5.73,487.2371127,487.2298042,487.2444213,301.5,386.1,488.2443892,C24H40O8S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,465402,,,AUVYDCOKXDDYKR-OELDTZBJSA-N,
BANEG-0062,Deoxycholic acid-3-sulfate,1,[M-H]-,BANEG-0062.1,466.2,7.77,471.2421981,471.2351295,471.2492668,420.3,512.1,472.2494746,C24H40O7S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0002504,,,,,,,,,,ARGCPGOJOKCMSW-LLQZFEROSA-N,
BANEG-0063,Chenodeoxycholic acid-3-sulfate,1,[M-H]-,BANEG-0063.1,451.8,7.53,471.2421981,471.2351295,471.2492668,406.5,497.1,472.2494746,C24H40O7S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0002586,,,,,,,,,,WHMOBEGYTDWMIG-BSWAIDMHSA-N,
BANEG-0064,Ursodeoxycholic acid-3-sulfate,1,[M-H]-,BANEG-0064.1,321,5.35,471.2421981,471.2351295,471.2492668,279.6,362.4,472.2494746,C24H40O7S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0002642,,,,,,,,,,WHMOBEGYTDWMIG-ROKSHQGPSA-N,
BANEG-0065,Glycochenodeoxycholic acid-3-sulfate,1,[M-H]-,BANEG-0065.1,289.2,4.82,528.2636618,528.2557379,528.2715858,238.8,339.6,529.2709383,C26H43NO8S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0002497,,,,,,,21125002,,,DKXXSIJHWWVNMO-GYPHWSFCSA-N,
BANEG-0066,Taurochenodeoxycholic acid-3-sulfate,1,[M-H]-,BANEG-0066.1,229.5,3.825,578.2462975,578.2376239,578.2549712,177.6,281.4,579.253574,C26H45NO9S2,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0002486,,,,,,,21126227,,,GLVWZDCWCRWVFM-KSRHSBLNSA-N,
BANEG-0067,Glycocholic acid-3-sulfate,1,[M-H]-,BANEG-0067.1,202.5,3.375,544.2585765,544.2504127,544.2667404,159.6,245.4,545.265853,C26H43NO9S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,ZXUWKFXQTSOVDY-FRVQLJSFSA-N,
BANEG-0068,Glycolithocholic acid-3-sulfate,1,[M-H]-,BANEG-0068.1,392.1,6.535,512.2687472,512.2610632,512.2764313,336.3,447.9,513.2760237,C26H43NO7S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0002639,,,,,,,,,,FHXBAFXQVZOILS-OETIFKLTSA-N,
BANEG-0069,Taurodeoxycholic acid-3-sulfate,1,[M-H]-,BANEG-0069.1,246,4.1,578.2462975,578.2376239,578.2549712,175.5,316.5,579.253574,C26H45NO9S2,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,UCVGCHGIKFWAGH-VAYUFCLWSA-N,
BANEG-0070,Tauroursodeoxycholic acid-3-sulfate,1,[M-H]-,BANEG-0070.1,127.8,2.13,578.2462935,578.2376199,578.2549672,87.6,168,579.25357,C26H45NO9S2,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,GLVWZDCWCRWVFM-LBSADWJPSA-N,
BANEG-0071,Glycoursodeoxycholic acid-3-sulfate,1,[M-H]-,BANEG-0071.1,172.2,2.87,528.2636635,528.2557396,528.2715875,134.7,209.7,529.27094,C26H43NO8S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,DKXXSIJHWWVNMO-XROMFQGDSA-N,
BANEG-0072,Glycodeoxycholic acid-3-sulfate,1,[M-H]-,BANEG-0072.1,307.8,5.13,528.2636635,528.2557396,528.2715875,263.1,352.5,529.27094,C26H43NO8S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,QJZCNFGUZPMYAX-BUXLTGKBSA-N,
BANEG-0073,Taurocholic acid-3-sulfate,1,[M-H]-,BANEG-0073.1,153.9,2.565,594.2412135,594.2322999,594.2501272,112.5,195.3,595.24849,C26H45NO10S2,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,LKTXOQJJFLAZRW-HZAMXZRMSA-N,
BANEG-0074,Allolithocholic acid,1,[M-H]-,BANEG-0074.1,648.3,10.805,375.2904735,375.2848442,375.2961029,618.3,678.3,376.29775,C24H40O3,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,SMEROWZSTRWXGI-NWFSOSCSSA-N,
BANEG-0076,23-Norcholic acid,1,[M-H]-,BANEG-0076.1,395.4,6.59,393.2646435,393.2587446,393.2705425,361.5,429.3,394.27192,C23H38O5,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,,
BANEG-0078,6-Oxolithocholic acid,1,[M-H]-,BANEG-0078.1,486.6,8.11,389.2697335,389.2638945,389.2755726,451.5,521.7,390.27701,C24H38O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,,
BANEG-0079,5-beta-Cholanic acid-12-alpha-ol-3-one,1,[M-H]-,BANEG-0079.1,594.9,9.915,389.2697335,389.2638945,389.2755726,562.5,627.3,390.27701,C24H38O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,,
BANEG-0080,"5-alpha-Cholanic acid-3-alpha,7-beta-diol-6-one",1,[M-H]-,BANEG-0080.1,427.8,7.13,405.2646435,405.2585646,405.2707225,393.6,462,406.27192,C24H38O5,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,,
BANEG-0081,5-alpha-Cholanic acid-3-one,1,[M-H]-,BANEG-0081.1,633.3,10.555,373.2748235,373.2692244,373.2804227,603.3,663.3,374.2821,C24H38O3,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,,
BANEG-0082,Isochenodeoxycholic acid,1,[M-H]-,BANEG-0082.1,0,8.666666667,391.2853833,391.2795141,391.2912526,505,535,392.2926598,C24H40O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,,
BANEG-0083,Isoursodeoxycholic acid,1,[M-H]-,BANEG-0083.1,0,7.2,391.2853833,391.2795141,391.2912526,417,447,392.2926598,C24H40O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,,
BANEG-0084,Isocholic acid,1,[M-H]-,BANEG-0084.1,0,6.133333333,407.2802979,407.2741887,407.2864072,353,383,408.2875744,C24H40O5,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,,
BANEG-0085,"3,7-Diketocholanic acid | 3,6-Diketocholanic acid | 3,12-Diketocholanic acid",1,[M-H]-,BANEG-0085.1,0,7.55,387.2540831,387.2482743,387.259892,435,468,388.2613596,C24H36O4,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,,
BANEG-0086,12-Ketochenodeoxycholic acid | 7-Ketodeoxycholic acid,1,[M-H]-,BANEG-0086.1,0,5.883333333,405.2646435,405.2585646,405.2707225,338,368,406.27192,C24H38O5,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,,
BANEG-0087,Cholic acid|Ursocholic acid,1,[M-H]-,BANEG-0087.1,0,8,407.2802979,407.2741887,407.2864072,465,495,408.2875744,C24H40O5,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,,
BANEG-0088,Tauro-beta-muricholic acid | Tauro-alpha-muricholic acid | Tauro-omega-muricholic acid,1,[M-H]-,BANEG-0088.1,0,2.75,514.2843973,514.2766831,514.2921116,150,180,515.2916738,C26H45NO7S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,,
